,y_test,rf_pred
0,6606,6570.435
1,1550,1553.28
2,3747,3426.56
3,6041,5168.995
4,7538,7461.12
5,7264,7232.335
6,1605,1473.45
7,2209,2270.605
8,7499,7376.385
9,5743,6411.745
10,1796,2106.205
11,3068,2924.965
12,4891,4985.105
13,5260,5025.92
14,2133,2120.605
15,2471,2094.31
16,2046,2234.955
17,8156,7854.15
18,5362,5053.005
19,2298,2476.7
20,7697,7448.155
21,5463,5948.2
22,5409,5880.29
23,1872,1794.47
24,1807,1707.21
25,5130,4764.275
26,2121,1955.4
27,7436,7216.885
28,3830,3191.945
29,5557,5659.795
30,2743,2969.56
31,3644,4076.425
32,6196,6619.35
33,7494,7325.0
34,5918,6201.06
35,3372,5382.23
36,7582,7205.785
37,6053,6309.605
38,2566,3128.91
39,1263,942.7
40,3944,3793.825
41,3956,3332.945
42,7580,7281.215
43,4906,4521.725
44,6966,6953.9
45,705,2184.135
46,4458,4351.43
47,5298,5687.805
48,6043,6662.225
49,4996,4079.445
50,3351,4180.95
51,2431,2923.38
52,1011,2269.61
53,4475,4211.895
54,4725,4716.09
55,4727,4239.98
56,2395,3433.535
57,3351,3784.15
58,4788,4306.815
59,7175,6573.955
60,6153,6231.615
61,7442,6838.92
62,1471,1999.3
63,7865,7341.215
64,6530,6587.775
65,6211,6397.58
66,7403,5889.295
67,4302,4276.76
68,2077,1886.105
69,7333,7318.63
70,3117,3616.005
71,1635,2129.105
72,3811,3133.395
73,4595,3904.405
74,4363,4231.64
75,2034,3872.825
76,5686,4789.565
77,4748,4513.015
78,1416,1337.62
79,4401,4318.37
80,2114,2265.925
81,2028,1992.375
82,5668,5047.185
83,22,4103.465
84,3940,3626.08
85,4118,3457.545
86,5423,4101.74
87,1495,3717.91
88,3620,3460.2
89,3403,3392.62
90,1501,1369.97
91,7040,7075.06
92,5992,5541.04
93,4990,5853.6
94,3095,2634.06
95,2832,1985.12
96,4713,4811.84
97,2368,2853.145
98,3409,3262.42
99,4991,4859.45
100,7713,7519.89
101,3785,4372.205
102,6664,6670.89
103,2496,1871.525
104,2077,2451.74
105,5267,5240.3
106,1162,2134.655
107,2739,3033.9
108,6861,6639.205
109,1360,1174.06
110,4602,4424.2
111,7282,6868.76
112,3570,3688.835
113,8167,7759.04
114,6230,5931.22
115,4511,4372.65
116,1461,1768.835
117,3272,3075.9
118,5923,5055.255
119,2177,2315.005
120,6398,6632.005
121,1817,2633.975
122,3239,3304.14
123,1349,1453.24
124,3867,4435.825
125,5146,5044.3
126,4541,4194.835
127,3368,3287.235
128,2134,2130.645
129,7410,6036.25
130,3331,3667.295
131,3974,3952.55
132,5495,4972.32
133,5319,5167.965
134,5895,4926.44
135,2227,1940.08
136,4367,6239.07
137,7460,6636.125
138,1977,2011.835
139,4266,4508.2
140,4864,4617.06
141,1913,2113.245
142,2132,2077.26
143,4258,4278.84
144,2792,3621.695
145,5180,4951.495
146,3958,4402.405
147,4094,4711.95
148,1842,2646.675
149,3614,3577.3
150,4274,4630.99
151,7335,7384.14
152,4123,4144.71
153,4576,4000.52
154,1510,1532.445
155,3520,3798.6
156,4151,3992.555
157,6779,6710.225
158,2424,2758.3
159,4677,4597.295
160,6233,6230.67
161,4105,3972.115
162,4205,3942.865
163,5323,4932.44
164,1746,1548.13
165,3204,3818.98
166,6192,6401.91
167,1969,1825.685
168,3613,3606.745
169,4390,4452.18
170,7006,7058.975
171,7148,7308.18
172,1985,1528.225
173,3831,3388.925
174,4569,3899.3
175,5585,5911.65
176,4916,4033.775
177,5823,6331.23
178,4189,3550.515
179,1865,1708.025
180,1107,1618.18
181,7055,7330.795
182,7534,7112.6
183,5499,5243.765
184,7570,6772.565
185,8555,7987.605
186,7498,7649.7
187,2236,2617.525
188,5634,4452.225
189,1650,1381.285
190,7665,7344.635
191,3005,3619.14
192,4195,3907.175
193,5026,6168.04
194,2210,1959.4
195,1685,1686.215
196,3606,3878.72
197,1834,3957.665
198,1096,1013.355
199,5191,5031.865
200,4845,4558.42
201,6169,5736.02
202,5532,5187.63
203,5119,5131.63
204,4073,5008.575
205,2710,2719.39
206,8120,7353.125
207,2423,2017.075
208,7444,6444.015
209,6660,6378.285
210,7534,6839.865
211,3846,3731.025
212,5558,5611.305
213,3422,3008.555
214,5305,5004.975
215,2659,4010.305
216,7338,7269.445
217,6978,6800.965
218,4795,3481.175
219,3855,3857.71
